	datetime	humidity	pressure	temperature	weather description	wind direction	wind speed
19714	2014-12-31 22:00:00	59.0	1022.0	268.05	sky is clear	249.0	2.0
19715	2014-12-31 23:00:00	69.0	1026.0	268.633088676	sky is clear	250.0	3.0
19716	2015-01-01 00:00:00	59.0	1022.0	268.05	sky is clear	249.0	2.0
19717	2015-01-01 01:00:00	59.0	1022.0	268.05	sky is clear	249.0	2.0
19718	2015-01-01 02:00:00	58.0	1021.0	267.186	sky is clear	246.0	2.0
19719	2015-01-01 03:00:00	58.0	1021.0	267.186	sky is clear	246.0	2.0
19720	2015-01-01 04:00:00	58.0	1021.0	267.186	sky is clear	246.0	2.0
19721	2015-01-01 05:00:00	52.0	1019.0	266.66700000000003	sky is clear	251.0	3.0
19722	2015-01-01 06:00:00	52.0	1019.0	266.66700000000003	sky is clear	251.0	3.0
19723	2015-01-01 07:00:00	52.0	1019.0	266.66700000000003	sky is clear	251.0	3.0
19724	2015-01-01 08:00:00	57.0	1018.0	266.57599999999996	sky is clear	258.0	3.0
19725	2015-01-01 09:00:00	57.0	1018.0	266.57599999999996	sky is clear	258.0	3.0
19726	2015-01-01 10:00:00	57.0	1018.0	266.57599999999996	sky is clear	258.0	3.0
19727	2015-01-01 11:00:00	57.0	1019.0	266.449	sky is clear	261.0	3.0
19728	2015-01-01 12:00:00	57.0	1019.0	266.449	sky is clear	261.0	3.0
19729	2015-01-01 13:00:00	62.0	1021.0	267.178609781	sky is clear	258.0	3.0
19730	2015-01-01 14:00:00	76.0	1028.0	268.99130489099997	sky is clear	251.0	3.0
19731	2015-01-01 15:00:00	69.0	1025.0	269.261737159	sky is clear	251.0	4.0
19732	2015-01-01 16:00:00	88.0	1034.0	271.460666667	sky is clear	242.0	4.0
19733	2015-01-01 17:00:00	87.0	1033.0	272.117333333	sky is clear	240.0	5.0
19734	2015-01-01 18:00:00	70.0	1024.0	271.94921907400004	sky is clear	244.0	4.0
19735	2015-01-01 19:00:00	73.0	1025.0	272.838278841	sky is clear	240.0	4.0
19736	2015-01-01 20:00:00	54.0	1015.0	272.941	sky is clear	244.0	4.0
19737	2015-01-01 21:00:00	54.0	1015.0	272.941	sky is clear	244.0	4.0
19738	2015-01-01 22:00:00	54.0	1015.0	272.941	sky is clear	244.0	4.0
